Keyword (SYMPTOMPS),DISORDER,DESCRIPTION,,KATEGORY,PERTANYAAN,PERTANYAAN LANJUTAN,,DISORDER,FAKTOR PEMICU,INITIAL SOLUTION,,,ADVICE
iritabilitas,Kecemasan Umum,"Kecemasan, kekhawatiran, atau gejala fisik menyebabkan penderitaan atau gangguan yang signifikan secara klinis dalam bidang sosial, pekerjaan, atau bidang fungsi penting lainnya",,Depresi,apakah kamu merasa terpisah dari dirimu sendiri? seperti pikiran mu atau lingkungan mu?,bagaimana hubungan sosial mu? apa kamu masih bisa bersosialisasi dengan orang terdekatmu? atau kamu memulai sosialisasi dengan orang baru?,,Gangguan Panik,"Lingkungan : 
1. Trauma fisik atau emosional, seperti kecelakaan.
2. Tekanan hidup yang terus-menerus.
3. Kehilangan mendadak orang tercinta.
4. Konflik berkepanjangan dalam keluarga.
5. Tinggal di lingkungan penuh ancaman.","Teknik Jangka Pendek : 
1. Grounding 5-4-3-2-1: Fokuskan pikiran dengan menyebutkan 5 benda yang dilihat, 4 suara yang didengar, 3 hal yang bisa kamu sentuh, 2 hal yang bisa kamu cium, dan 1 hal yang bisa kamu rasa.
2. Latihan Pernapasan Cepat: Hembuskan napas lebih lama dari menarik napas untuk menenangkan tubuh.",,Gangguan Panik,"""Saat serangan panik datang, cobalah fokus pada hal-hal di sekitarmu yang nyata—seperti suara, warna, atau tekstur. Kamu akan melewati ini."""
ketegangan otot,Kecemasan Umum,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme)",,Depresi,apakah kamu merasa tidak mengenal dirimu sendiri dan tidak tahu apa yang kamu inginkan di hidup mu?,apakah kamu melakukan pekerjaan rumah seprti biasa?,,Gangguan Panik,"Faktor Lain : 
1. Konsumsi zat stimulan seperti kafein atau amfetamin.
2. Penyalahgunaan alkohol atau narkoba.
3. Aktivitas fisik yang terlalu intens.
4. Efek samping dari obat tertentu (misalnya, steroid).
5. Penyakit medis seperti hipertiroidisme.","Anjuran Profesional : 
1. Terapi paparan bertahap dapat membantu mengurangi ketakutan serangan panik.
2. Psikiater dapat meresepkan benzodiazepine atau SSRI untuk pengelolaan jangka pendek atau panjang.",,Gangguan Panik,"""Ingat bahwa ini hanya sementara. Kamu sudah berhasil melewatinya sebelumnya, dan kamu bisa lagi sekarang."""
gangguan tidur,Kecemasan Umum,Gangguan tersebut tidak dapat dijelaskan dengan lebih baik oleh gangguan mental lain,,Depresi,apa kamu pernah meminum minuman alkohol lebih dari 4 jenis dalam satu hari?,apakah pekerjaan mu terselesaika semuanya?,,OCD,"Biologis: 
1. Ketidakseimbangan serotonin.
2. Aktivitas berlebihan pada ganglia basal otak.
3. Faktor genetik dalam keluarga.
4. Gangguan perkembangan neurologis.
5. Infeksi streptokokus yang memicu gejala (PANDAS).","Langkah Awal : 
1. Identifikasi Pola: Catat kapan obsesi/kompulsi terjadi, dan apa yang memicunya.
2. Cobalah Menunda Ritual: Tunda ritual selama beberapa menit, dan tingkatkan durasi secara bertahap.
3. Berbicara dengan Orang Terdekat: Jelaskan bahwa obsesi dan kompulsi adalah bagian dari OCD.",,Gangguan Panik,"""Berlatihlah bernafas pelan-pelan. Napasmu adalah sekutumu, gunakan untuk menenangkan dirimu."""
"gejala fisik seperti berkeringat, mual, siare, pusing, sesak napas, dan detak jantung tidak beraturan",Kecemasan Umum,,,Depresi,"apa kamu Merokok rokok, cerutu, atau pipa, atau menggunakan tembakau sedot atau kunyah?",bagaimana aktivitas sekolah atau pekerjaan mu?,,OCD,"Psikologis : 
1. Ketakutan berlebihan terhadap kontaminasi.
2. Ketidakmampuan mengatasi pikiran intrusif.
3. Kebiasaan perfeksionis ekstrem.
4. Pola pemikiran obsesif terhadap tanggung jawab.
5. Pola kontrol berlebih terhadap lingkungan.","Strategi Harian : 
1. Latihan Fokus: Gunakan teknik mindfulness untuk mengalihkan perhatian saat obsesi muncul.
2. Kurangi Stres: Lakukan aktivitas yang menenangkan, seperti mendengarkan musik atau olahraga ringan.
3. Tetapkan Tujuan Kecil: Mulailah dari mengurangi 1 ritual kompulsi setiap hari.",,Gangguan Panik,"""Serangan panik tidak mendefinisikanmu. Ini hanyalah respons tubuh yang bisa kamu kendalikan."""
jantung berdebar kencang,Gangguan Panik,"Serangan panik yang tidak terduga dan berulang. Serangan panik adalah gelombang rasa takut yang hebat atau rasa tidak nyaman yang tiba-tiba dan mencapai puncaknya dalam beberapa menit, dan selama waktu tersebut empat (atau lebih) gejala berikut ini muncul.
Catatan: Lonjakan mendadak dapat terjadi dari keadaan tenang maupun keadaan cemas.",,Depresi,"apa kamu Menggunakan salah satu obat berikut  tanpa resep dokter, dalam jumlah yang lebih banyak atau lebih lama dari yang diresepkan [misalnya, obat penghilang rasa sakit (seperti Vicodin), stimulan (seperti Ritalin atau Adderall), obat penenang atau penenang (seperti pil tidur atau Valium), atau obat-obatan seperti mariyuana, kokain atau crack, obat-obatan terlarang di klub (seperti ekstasi), halusinogen (seperti LSD), heroin, zat hirup atau pelarut (seperti lem), atau metamfetamin (seperti speed)?", apakah kamu dapat menyelesaikan semua tugas mu?,,OCD,"Lingkungan : 
1. Pola asuh yang sangat ketat atau kaku.
2. Trauma masa kecil seperti pelecehan.
3. Lingkungan kerja yang sangat kompetitif.
4. Konflik keluarga yang terus-menerus.
5. Eksposur terhadap stres jangka panjang.","Teknik Jangka Pendek : 
1. Tantang Pikiran Obsesif: Tanyakan, “Apakah ini benar-benar akan terjadi?”
2. Buat Catatan Fakta: Tuliskan bukti nyata yang menentang ketakutan obsesif.",,Gangguan Panik,"""Tidak apa-apa untuk mencari bantuan. Berbagi beban dengan orang lain tidak membuatmu lemah."""
Berkeringat,Gangguan Panik,"Setidaknya salah satu serangan telah diikuti oleh salah satu atau kedua serangan berikut dalam 1 bulan (atau lebih).
1 Kekhawatiran atau kekhawatiran yang terus-menerus terhadap serangan panik tambahan atau konsekuensinya (misalnya kehilangan kendali, terkena serangan jantung, ""menjadi gila"").
2. Perubahan perilaku maladaptif yang signifikan terkait serangan (misalnya, perilaku yang dirancang untuk menghindari serangan panik, seperti menghindari olahraga atau situasi yang tidak biasa)",,Depresi,"apa kamu Mengeluh sakit perut, sakit kepala, atau nyeri dan rasa sakit lainnya?",apakah kamu mengalami kendala dalam mengikuti kegiatan sosialisasi masyarakat?,,OCD,"Faktor Lain : 
1. Kejadian stres akut (perceraian, kehilangan pekerjaan).
2. Penyalahgunaan zat yang memperburuk kecemasan.
3. Efek samping obat tertentu (misalnya, antidepresan).
4. Kurang tidur kronis.
5. Penyakit yang meningkatkan kecemasan.","Anjuran Profesional : 
1. Terapkan ERP (Exposure and Response Prevention) melalui bantuan terapis.
2. Konsultasikan pengobatan seperti SSRI jika obsesi/kompulsi sangat mengganggu.",,OCD,"""Pikiranmu bukanlah dirimu. Tidak apa-apa untuk membiarkan pikiran obsesif lewat tanpa memberinya kekuatan."""
Gemetar,Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Depresi,"apa kamu punya masalah tidur? seperti terlalu lama tidur, tidur terlalu pagi, atau slalu tertidur?",seberapa besar kendala yang kamu alami?,,PTSD,"Biologis: 
1. Aktivasi hiper di sistem limbik.
2. Perubahan struktur pada hippocampus akibat trauma.
3. Faktor genetik yang membuat individu lebih rentan.
4. Ketidakseimbangan hormon stres (kortisol).
5. Sensitivitas tinggi terhadap adrenalin.","Langkah Awal : 
1. Cari Tempat Aman: Ketika flashback muncul, temukan tempat yang terasa aman dan nyaman.
2. Relaksasi Otot: Latih relaksasi otot progresif untuk mengurangi ketegangan.
3. Teman Curhat: Berbicara dengan seseorang yang dipercaya dapat membantu melepaskan beban emosi.",,OCD,"""Tidak perlu sempurna untuk menjadi cukup baik. Kamu sudah cukup."""
Sensasi sesak napas atau tercekik,Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Depresi,"apa kamu merasa lebih mudah merasa jengkel, mudah terganggu dan kehilangan kesabaran ?", berapa banyak waktu yang kamu habiskan untuk memeriksa kesehatan mu?,,PTSD,"Psikologis : 
1. Pengalaman trauma berat (pelecehan seksual, perang).
2. Mengingat kembali kejadian traumatis.
3. Ketidakmampuan mengelola emosi setelah trauma.
4. Ketakutan akan situasi yang mirip dengan trauma.
5. Merasa bersalah karena selamat dari kejadian traumatis","Strategi Harian : 
1. Buat Rutinitas Harian: Rutinitas memberikan rasa stabilitas.
2. Cukup Tidur: Gunakan teknik tidur relaksasi untuk membantu tidur lebih nyenyak.
3. Kurangi Konsumsi Pemicu: Hindari berita atau media yang memicu ingatan traumatis.",,OCD,"""Mencoba mengubah kebiasaan lama itu sulit, tapi langkah kecil hari ini akan membuat perbedaan besar."""
"Nyeri atau rasa tidak nyaman di dada,",Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Depresi,apa kamu merasa perlu melakukan sesuatu dengan cara tertentu seperti menghitung atau mengucapkan hal khusus?,seberapa terpengaruh kondisi emosionalmu terhadap kondisi kesehatanmu?,,PTSD,"Lingkungan : 
1. Kehilangan dukungan sosial setelah trauma.
2. Hidup di daerah konflik berkepanjangan.
3. Kehilangan mendadak orang yang dicintai.
4. Stres pasca bencana alam.
5. Kehidupan kerja yang penuh risiko (misalnya, polisi, tentara).","Teknik Jangka Pendek : 
1. Grounding Teknik: Gunakan fokus indra untuk mengalihkan perhatian dari flashback.
2. Tulis Perasaanmu: Jurnal tentang perasaan setelah episode traumatis dapat membantu memahami emosi.",,OCD,"""Ketakutanmu valid, tapi kamu lebih besar daripada ketakutan itu."""
Mual atau gangguan perut,Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Depresi,apa kamu pernah mencoba bunuh diri?,seberapa berpengaruh kondisi finansial mu terhadap kesehatanmu atau sebaliknya?,,PTSD,"Faktor Lain : 
1. Suara keras atau bau yang memicu kenangan trauma.
2. Perubahan besar dalam kehidupan setelah trauma.
3. Konsumsi alkohol untuk “menghilangkan” trauma.
4. Isolasi sosial yang memperparah trauma.
5. Efek samping terapi medis tertentu.","Anjuran Profesional : 
1. Terapkan terapi EMDR (Eye Movement Desensitization and Reprocessing) untuk trauma berat.
2. Psikiater dapat merekomendasikan pengobatan seperti SSRI atau Prazosin untuk mimpi buruk PTSD.",,OCD,"""Fokus pada apa yang bisa kamu lakukan hari ini, bukan pada apa yang menurut pikiranmu harus sempurna."""
"Merasa pusing, tidak stabil atau pingsan",Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Kecemasan Umum,apakah tidur mu lebih sebentar dari biasanya namun masih memiliki banyak energi tersisa?,,,SOCIAL ANXIETY,"Biologis: 
1. Aktivitas berlebihan pada amigdala.
2. Genetik atau riwayat keluarga dengan gangguan kecemasan.
3. Ketidakseimbangan serotonin.
4. Disfungsi di area prefrontal otak.
5. Kecenderungan biologis untuk over-sensitivitas.","Langkah Awal : 
1. Mulai Kecil: Berbicara dengan orang terdekat terlebih dahulu sebelum mencoba lingkungan sosial yang lebih besar.
2. Latih Diri di Cermin: Latih interaksi atau presentasi sosial di depan cermin.
3. Tetapkan Tujuan Harian: Misalnya, tersenyum pada orang asing atau menyapa tetangga.",,PTSD,"""Masa lalu tidak mendefinisikanmu. Hari ini adalah awal yang baru, dan kamu punya kekuatan untuk melanjutkan hidupmu."""
"Rasa menggigil atau panas, Parestesia (mati rasa atau kesemutan)",Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Kecemasan Umum,"apakah kamu gugup, khawatir atau cemas?",,,SOCIAL ANXIETY,"Psikologis : 
1. Trauma sosial (dipermalukan di depan umum).
2. Takut dievaluasi negatif oleh orang lain.
3. Pengalaman penolakan berulang di masa lalu.
4. Perfeksionisme terhadap penampilan diri.
5. Pola pikir yang selalu overthinking dalam interaksi sosial.","Strategi Harian : 
1. Kurangi Perfeksionisme: Ingat bahwa tidak semua orang memperhatikan kesalahan kecilmu.
2. Latihan Komunikasi: Gunakan teknik komunikasi sederhana, seperti bertanya atau memberi pujian kecil.
3. Cari Lingkungan Positif: Pilih lingkungan yang mendukung dan tidak menghakimi.",,PTSD,"""Penyembuhan bukanlah garis lurus, tapi setiap langkah kecil adalah kemenangan."""
derealisasi (perasaan tidak nyata),Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Kecemasan Umum,apakah kamu menghindari sesuatu yang membuat mu cemas?,,,SOCIAL ANXIETY,"Lingkungan : 
1. Pola asuh yang terlalu protektif atau otoriter.
2. Bullying selama masa sekolah.
3. Isolasi sosial pada masa anak-anak.
4. Tekanan sosial dari keluarga atau komunitas.
5. Ekspektasi budaya untuk menjadi sempurna.","Teknik Jangka Pendek : 
1. Pernapasan Menenangkan: Lakukan sebelum memasuki situasi sosial yang menegangkan.
2. Siapkan Script: Persiapkan beberapa topik percakapan ringan sebelumnya.",,PTSD,"""Trauma tidak mengurangi nilaimu sebagai individu. Kamu tetap berharga dan layak dicintai."""
depersonalisasi (terlepas dari diri sendiri),Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Kecemasan Umum,apakah kamu merasa sakit tapi tidak diketahui penyebabnya?,,,SOCIAL ANXIETY,"Faktor Lain : 
1. Situasi sosial spesifik (presentasi, wawancara kerja).
2. Konsumsi alkohol yang memperburuk kecemasan.
3. Efek samping obat tertentu (misalnya, steroid).
4. Pola tidur buruk yang meningkatkan sensitivitas emosional.
5. Aktivitas fisik yang membuat seseorang sangat sadar diri.","Anjuran Profesional : 
1. CBT khusus untuk kecemasan sosial dapat sangat efektif.
2. Psikiater mungkin meresepkan beta-blocker untuk situasi tertentu, seperti presentasi.",,PTSD,"""Tidak apa-apa mengambil waktu untuk dirimu sendiri. Pulihkan diri dengan kecepatan yang nyaman untukmu."""
"Takut kehilangan kendali atau ""menjadi gila"", Takut akan kematian.",Gangguan Panik,"Gangguan ini tidak disebabkan oleh efek fisiologis suatu zat (misalnya penyalahgunaan obat, pengobatan) atau kondisi medis lain (misalnya hipertiroidisme, gangguan jantung paru).",,Kecemasan Umum,apakah kamu merasa jika penyakitmu tidak di tanggapi dengan serius?,,,SPECIFIC PHOBIA,"Biologis: 
1. Aktivasi berlebihan pada amigdala.
2. Kecenderungan genetik terhadap gangguan kecemasan.
3. Ketidakseimbangan serotonin dan dopamin.
4. Respons overaktif dari sistem saraf simpatik.
5. Faktor hereditas atau keluarga dengan riwayat fobia.","Langkah Awal : 
1. Cari Fakta: Pelajari lebih banyak tentang objek atau situasi yang ditakuti.
2. Zona Aman: Siapkan tempat aman saat menghadapi ketakutan secara bertahap.
3. Pernapasan Mendalam: Gunakan pernapasan untuk menenangkan gejala fisik saat terpapar.",,PTSD,"""Kamu telah bertahan dari hal-hal sulit sebelumnya, dan itu adalah bukti kekuatanmu."""
