Emotional,Keyword,Sentimen,Response Category,Response
Marah,Pengabaian impian,Negatif,Empathy,"Pengabaian impian bisa membuatmu merasa tidak berdaya. Ingat, impianmu penting dan layak diperjuangkan."
Marah,Pengabaian aspirasi,Negatif,Empathy,Pengabaian aspirasi bisa membuatmu merasa tidak termotivasi. Mari kita bicarakan langkah-langkah untuk mencapai aspirasi tersebut.
Marah,Pengabaian tanggung jawab,Negatif,Empathy,Pengabaian tanggung jawab bisa membuatmu merasa terbebani. Mari kita bicarakan cara untuk mengelola tanggung jawabmu dengan lebih baik.
Marah,Pengaruh negatif dari orang lain,Negatif,Empathy,"Pengaruh negatif dari orang lain bisa membuatmu merasa tertekan. Ingat, kamu memiliki kekuatan untuk memilih siapa yang ada di sekitarmu."
Marah,Ketidakpastian yang mengganggu,Negatif,Empathy,Ketidakpastian yang mengganggu bisa membuatmu merasa cemas. Mari kita bicarakan cara untuk menghadapi ketidakpastian ini.
Marah,Pengabaian perhatian,Negatif,Empathy,Pengabaian perhatian bisa membuatmu merasa kesepian. Mari kita cari cara untuk membangun hubungan yang lebih baik.
Marah,Pengabaian dukungan,Negatif,Empathy,"Pengabaian dukungan bisa membuatmu merasa terasing. Ingat, kamu tidak sendirian, dan ada orang yang peduli padamu."
Marah,Ketidakadilan yang dirasakan,Negatif,Support,"Perasaanmu valid. Ketidakadilan memang bisa membuat kita marah, dan itu adalah reaksi yang wajar."
Marah,Perasaan dikhianati oleh orang lain,Negatif,Support,Kamu tidak sendirian. Mari kita cari cara untuk mengatasi perasaan ini bersama-sama.
Marah,Ketidakmampuan untuk mengontrol situasi,Negatif,Solving,Mari kita buat rencana untuk menghadapi situasi ini agar kamu merasa lebih siap.
Marah,Perlakuan tidak adil dari orang lain,Negatif,Encouragement,"Ingat, kamu memiliki hak untuk memperjuangkan keadilan. Jangan ragu untuk bersuara!"
Marah,Rasa frustrasi akibat kegagalan,Negatif,Motivation,Setiap kegagalan adalah pelajaran. Mari kita lihat apa yang bisa kita ambil dari pengalaman ini.
Marah,Rasa sakit akibat kehilangan,Negatif,Support,Aku di sini untukmu. Mari kita cari cara untuk mengenang yang hilang dengan cara yang positif.
Marah,Ketidakadilan di tempat kerja,Negatif,Advocacy,Kamu berhak untuk menyuarakan ketidakadilan ini. Mari kita bicarakan langkah-langkah yang bisa diambil.
Marah,Perasaan diabaikan atau tidak dihargai,Negatif,Affirmation,"Ingat, kamu berharga dan layak mendapatkan penghargaan. Jangan biarkan orang lain meragukan nilai dirimu."
Marah,Keputusan orang lain yang merugikan,Negatif,Adaptability,Cobalah untuk melihat dari sudut pandang mereka. Ini bisa membantu mengurangi kemarahanmu.
Marah,Ketidakmampuan untuk mengekspresikan perasaan,Negatif,Connection,Mari kita latih cara untuk mengekspresikan perasaanmu dengan lebih jelas dan efektif.
Marah,Rasa cemburu atau iri terhadap orang lain,Negatif,Support,Cobalah untuk merenungkan apa yang membuatmu merasa cemburu. Ini bisa membantumu memahami dirimu lebih baik.
Marah,Ketidakadilan dalam sistem sosial,Negatif,Advocacy,Kamu bisa menjadi bagian dari perubahan. Mari kita bicarakan langkah-langkah yang bisa diambil untuk memperjuangkan keadilan.
Marah,Perasaan tertekan akibat tuntutan hidup,Negatif,Healing,Mari kita bicarakan cara-cara untuk merawat dirimu dan mengurangi stres dalam hidupmu.
Marah,Kebijakan atau aturan yang tidak adil,Negatif,Planning,Mari kita buat strategi untuk mengatasi kebijakan ini agar kamu merasa lebih berdaya.
Marah,Ketidakmampuan untuk mencapai tujuan,Negatif,Planning,Mari kita tetapkan tujuan yang lebih realistis dan langkah-langkah untuk mencapainya.
Marah,Perlakuan buruk dalam hubungan keluarga,Negatif,Support,"Ingat, kamu berhak mendapatkan dukungan dari keluargamu. Mari kita cari cara untuk membangun kembali hubungan itu."
Marah,Situasi yang tidak diinginkan,Negatif,Adaptability,Mari kita bicarakan cara untuk beradaptasi dengan situasi ini agar kamu merasa lebih nyaman.
Marah,Perilaku orang lain yang menyakitkan,Negatif,Planning,Mari kita bicarakan cara untuk menetapkan batasan agar kamu tidak merasa tertekan oleh perilaku orang lain.
Marah,Lingkungan sekitar yang tidak mendukung,Negatif,Connection,Cobalah untuk mencari komunitas yang mendukungmu. Kamu tidak sendirian dalam perjalanan ini.
Marah,Perubahan yang tidak diinginkan,Negatif,Planning,Mari kita lihat perubahan ini sebagai peluang untuk tumbuh dan belajar.
Marah,Komunikasi yang buruk,Negatif,Planning,Mari kita latih keterampilan komunikasi agar kamu bisa mengekspresikan dirimu dengan lebih baik.
Marah,Pengabaian emosional,Negatif,Support,Jangan ragu untuk mencari dukungan dari orang-orang terdekatmu. Kamu tidak sendirian.
Marah,Ekspektasi yang tidak terpenuhi,Negatif,Improvement,Mari kita ubah cara pandangmu terhadap situasi ini agar kamu bisa melihat sisi positifnya.
Marah,Pengabaian kebutuhan pribadi,Negatif,Advocacy,Jangan ragu untuk memperjuangkan kebutuhanmu. Kamu berhak mendapatkan apa yang kamu butuhkan.
Marah,Pengabaian hak-hak pribadi,Negatif,Empowerment,Kamu memiliki kekuatan untuk memperjuangkan hakmu. Mari kita cari cara untuk melakukannya.
Marah,Situasi yang tidak terduga,Negatif,Planning,Mari kita cari strategi untuk menghadapi situasi yang tidak terduga agar kamu merasa lebih siap.
Marah,Pengabaian perasaan,Negatif,Planning,Mari kita cari cara untuk mengekspresikan perasaanmu agar kamu merasa lebih lega.
Marah,Pengabaian keinginan,Negatif,Planning,Mari kita tetapkan tujuan untuk mencapai keinginanmu agar kamu merasa lebih termotivasi.
Marah,Pengabaian harapan,Negatif,Planning,Mari kita buat visi untuk masa depan yang lebih positif dan jelas.
Marah,Pengabaian impian,Negatif,Planning,Mari kita buat rencana tindakan untuk mengejar impianmu agar kamu merasa lebih berdaya.
Marah,Pengabaian aspirasi,Negatif,Encouragement,"Ingat, aspirasi adalah bagian penting dari dirimu. Jangan ragu untuk mengejarnya!"
Marah,Pengabaian tanggung jawab,Negatif,Planning,Mari kita buat daftar prioritas agar kamu bisa mengelola tanggung jawab dengan lebih efektif.
Marah,Pengaruh negatif dari orang lain,Negatif,Planning,Mari kita bicarakan cara untuk menetapkan batasan agar kamu tidak merasa tertekan oleh pengaruh negatif.
Marah,Ketidakpastian yang mengganggu,Negatif,Planning,Mari kita cari strategi untuk mengatasi ketidakpastian agar kamu merasa lebih tenang.
Marah,Pengabaian perhatian,Negatif,Connection,"Ingat, penting untuk terhubung dengan orang-orang yang peduli padamu. Jangan ragu untuk mencari dukungan."
Marah,Pengabaian dukungan,Negatif,Support,Mari kita cari cara untuk mendapatkan dukungan yang kamu butuhkan agar merasa lebih baik.
Sedih,Kehilangan orang terkasih,Negatif,Empathy,Aku sangat menyesal mendengar tentang kehilanganmu. Ini pasti sangat sulit bagimu.
Sedih,Perpisahan dalam hubungan,Negatif,Empathy,Perpisahan itu menyakitkan. Izinkan dirimu untuk merasakan kesedihan ini.
Sedih,Rasa tidak puas terhadap diri sendiri,Negatif,Empathy,Merasa tidak puas dengan diri sendiri adalah hal yang wajar. Kita semua pernah merasakannya.
Sedih,Rasa tidak puas terhadap orang lain,Negatif,Empathy,Rasa tidak puas terhadap orang lain bisa sangat menyakitkan. Apa yang bisa kita lakukan untuk memperbaikinya?
Sedih,Menghadapi kegagalan,Negatif,Empathy,Kegagalan adalah bagian dari perjalanan. Ini tidak mendefinisikan siapa dirimu.
Sedih,Perubahan besar dalam hidup,Negatif,Empathy,Perubahan besar bisa sangat menantang. Bagaimana perasaanmu tentang perubahan ini?
Sedih,Rasa kesepian,Negatif,Empathy,Kesepian bisa sangat menyakitkan. Aku di sini untuk mendengarkanmu.
Sedih,Ketidakpastian masa depan,Negatif,Empathy,Ketidakpastian bisa membuat kita merasa cemas. Apa yang paling mengganggu pikiranmu?
Sedih,Pengalaman trauma,Negatif,Empathy,Menghadapi trauma adalah proses yang sulit. Penting untuk memberi dirimu waktu untuk sembuh.
Sedih,Rasa bersalah,Negatif,Empathy,"Rasa bersalah bisa sangat membebani. Ingat, kita semua membuat kesalahan."
Sedih,Penolakan atau pengabaian,Negatif,Empathy,Rasa ditolak bisa sangat menyakitkan. Kamu berhak untuk merasa dihargai.
Sedih,Ketidakmampuan untuk mencapai tujuan,Negatif,Empathy,Merasa tidak mampu mencapai tujuan bisa sangat mengecewakan. Apa yang bisa kita lakukan untuk membantu?
Sedih,Rasa kehilangan identitas,Negatif,Empathy,Kehilangan identitas bisa sangat membingungkan. Apa yang membuatmu merasa seperti itu?
Sedih,Ketidakadilan yang dialami,Negatif,Empathy,Ketidakadilan bisa sangat menyakitkan. Apa yang bisa kita lakukan untuk memperjuangkan keadilan?
Sedih,Rasa cemas yang berlebihan,Negatif,Empathy,Kecemasan bisa sangat mengganggu. Apa yang biasanya membantumu merasa lebih tenang?
Sedih,Kesehatan fisik yang menurun,Negatif,Empathy,Kesehatan fisik yang buruk bisa mempengaruhi suasana hati. Apa yang bisa kamu lakukan untuk merawat dirimu?
Sedih,Kesehatan mental yang buruk,Negatif,Empathy,Kesehatan mental adalah hal yang penting. Jangan ragu untuk mencari bantuan jika perlu.
Sedih,Rasa tidak dihargai,Negatif,Empathy,Merasa tidak dihargai bisa sangat menyakitkan. Apa yang bisa kita lakukan untuk memperbaikinya?
Sedih,Ketidakpuasan dalam pekerjaan,Negatif,Empathy,Ketidakpuasan di tempat kerja bisa membuat frustrasi. Apa yang ingin kamu ubah?
Sedih,Ketidakpuasan dalam hubungan,Negatif,Empathy,Ketidakpuasan dalam hubungan bisa sangat menyakitkan. Apa yang ingin kamu bicarakan?
Sedih,Rasa cemburu atau iri,Negatif,Empathy,Rasa cemburu itu wajar. Mari kita bicarakan bagaimana kamu bisa mengubah perasaan itu.
Sedih,Menghadapi masalah keuangan,Negatif,Empathy,Masalah keuangan bisa sangat menekan. Apa yang bisa kita lakukan untuk membantu situasi ini?
Sedih,Rasa terasing dari lingkungan sosial,Negatif,Empathy,Merasa terasing bisa sangat menyedihkan. Mari kita cari cara untuk terhubung dengan orang lain.
Sedih,Menghadapi masalah keluarga,Negatif,Empathy,Masalah keluarga bisa sangat rumit. Apa yang ingin kamu bicarakan tentang situasi ini?
Sedih,Rasa tidak berdaya,Negatif,Empathy,Merasa tidak berdaya bisa sangat menyakitkan. Apa yang bisa kita lakukan untuk memberdayakan dirimu?
Sedih,Rasa putus asa,Negatif,Empathy,Rasa putus asa bisa sangat berat. Izinkan dirimu untuk merasakan perasaan ini.
Sedih,Menghadapi perubahan yang tidak diinginkan,Negatif,Empathy,Perubahan yang tidak diinginkan bisa sangat sulit. Apa yang paling mengganggu tentang perubahan ini?
Sedih,Rasa tidak berharga,Negatif,Empathy,"Merasa tidak berharga bisa sangat menyakitkan. Ingat, kamu memiliki nilai yang tak ternilai."
Sedih,Rasa kehilangan harapan,Negatif,Empathy,Kehilangan harapan bisa sangat menyedihkan. Apa yang bisa kita lakukan untuk membangkitkan harapan itu?
Sedih,Menghadapi kritik atau penilaian negatif,Negatif,Empathy,Kritik bisa sangat menyakitkan. Apa yang bisa kita lakukan untuk menghadapinya?
Sedih,Rasa tidak memiliki dukungan,Negatif,Empathy,"Merasa tidak memiliki dukungan bisa sangat menyedihkan. Ingat, ada orang yang peduli padamu."
Sedih,Menghadapi kehilangan pekerjaan,Negatif,Empathy,Kehilangan pekerjaan bisa sangat menekan. Apa yang bisa kita lakukan untuk membantumu?
Sedih,Rasa tidak memiliki kontrol atas hidup,Negatif,Empathy,Merasa tidak memiliki kontrol bisa sangat menyedihkan. Apa yang bisa kita lakukan untuk memberdayakan dirimu?
Sedih,Menghadapi masalah kesehatan yang serius,Negatif,Empathy,Masalah kesehatan yang serius bisa sangat menakutkan. Apa yang bisa kita lakukan untuk mendukungmu?
Sedih,Rasa tidak puas dengan diri sendiri,Negatif,Empathy,Merasa tidak puas dengan diri sendiri bisa sangat menyedihkan. Apa yang ingin kamu ubah?
Sedih,Menghadapi kesedihan orang lain,Negatif,Empathy,Mendukung orang lain yang sedang sedih bisa sangat menantang. Apa yang bisa kita lakukan untuk membantu?
Sedih,Rasa tertekan akibat tuntutan hidup,Negatif,Empathy,Tuntutan hidup bisa sangat berat dan membuat kita merasa tertekan. Apa yang paling membuatmu merasa tertekan saat ini?
Sedih,Menghadapi kehilangan impian,Negatif,Empathy,Kehilangan impian bisa sangat menyedihkan. Izinkan dirimu untuk merasakan kesedihan ini.
Sedih,Rasa tidak memiliki tujuan hidup,Negatif,Empathy,Merasa tidak memiliki tujuan hidup bisa sangat membingungkan. Apa yang membuatmu merasa seperti itu?
Sedih,Menghadapi kesedihan akibat berita buruk,Negatif,Empathy,Mendengar berita buruk bisa sangat menyedihkan. Apa yang kamu rasakan setelah mendengar berita itu?
Sedih,Kehilangan orang terkasih,Negatif,Support,"Ingat, kamu tidak sendirian. Aku di sini untuk mendukungmu dalam masa sulit ini."
Sedih,Perpisahan dalam hubungan,Negatif,Encouragement,Waktu akan membantu menyembuhkan luka ini. Kamu akan menemukan kebahagiaan lagi.
Sedih,Rasa tidak puas terhadap diri sendiri,Negatif,Improvement,Cobalah untuk melihat ini sebagai kesempatan untuk belajar dan tumbuh.
Sedih,Rasa tidak puas terhadap orang lain,Negatif,Motivation,Cobalah untuk memahami bahwa setiap orang memiliki perjuangan mereka sendiri.
Sedih,Menghadapi kegagalan,Negatif,Encouragement,Setiap kegagalan membawa pelajaran. Apa yang bisa kamu ambil dari pengalaman ini?
Sedih,Perubahan besar dalam hidup,Negatif,Adaptability,Cobalah untuk melihat perubahan ini sebagai peluang untuk pertumbuhan.
Sedih,Rasa kesepian,Negatif,Connection,Mari kita cari cara untuk terhubung dengan orang lain. Kamu tidak perlu merasa sendirian.
Sedih,Ketidakpastian masa depan,Negatif,Support,"Ingat, kita tidak bisa mengontrol masa depan, tetapi kita bisa mempersiapkan diri untuk itu."
Sedih,Pengalaman trauma,Negatif,Motivation,Pertimbangkan untuk berbicara dengan seorang profesional. Mereka bisa membantumu melalui ini.
Sedih,Rasa bersalah,Negatif,Motivation,Cobalah untuk memaafkan dirimu sendiri. Setiap orang berhak mendapatkan kesempatan kedua.
Sedih,Penolakan atau pengabaian,Negatif,Motivation,"Ingat, nilai dirimu tidak ditentukan oleh pendapat orang lain."
Sedih,Ketidakmampuan untuk mencapai tujuan,Negatif,Planning,Mari kita tetapkan tujuan yang lebih kecil dan realistis agar kamu bisa merasakannya.
Sedih,Rasa kehilangan identitas,Negatif,Planning,Cobalah untuk menjelajahi kembali apa yang membuatmu merasa berharga dan berarti.
Sedih,Ketidakadilan yang dialami,Negatif,Advocacy,Kamu memiliki hak untuk bersuara. Mari kita cari cara untuk menyuarakan ketidakadilan ini.
Sedih,Rasa cemas yang berlebihan,Negatif,Planning,Mari kita cari strategi untuk mengatasi kecemasan ini agar kamu merasa lebih baik.
Sedih,Kesehatan fisik yang menurun,Negatif,Support,"Ingat, penting untuk merawat dirimu sendiri. Apa langkah kecil yang bisa kamu ambil hari ini?"
Sedih,Kesehatan mental yang buruk,Negatif,Support,Berbicara dengan seorang profesional bisa sangat membantu. Kamu tidak sendirian dalam hal ini.
Sedih,Rasa tidak dihargai,Negatif,Affirmation,"Ingat, kamu berharga dan layak mendapatkan penghargaan. Jangan biarkan orang lain meragukan nilai dirimu."
Sedih,Ketidakpuasan dalam pekerjaan,Negatif,Planning,Mari kita bicarakan langkah-langkah untuk mencapai kepuasan kerja yang lebih baik.
Sedih,Ketidakpuasan dalam hubungan,Negatif,Connection,Mari kita bicarakan cara untuk meningkatkan komunikasi dalam hubunganmu.
Sedih,Rasa cemburu atau iri,Negatif,Improvement,Cobalah untuk merenungkan apa yang membuatmu merasa cemburu. Ini bisa membantumu memahami dirimu lebih baik.
Sedih,Menghadapi masalah keuangan,Negatif,Planning,Mari kita bicarakan rencana keuangan yang bisa membantumu merasa lebih aman.
Sedih,Rasa terasing dari lingkungan sosial,Negatif,Connection,Cobalah untuk mencari komunitas yang mendukungmu. Kamu tidak sendirian dalam perjalanan ini.
Sedih,Menghadapi masalah keluarga,Negatif,Support,"Ingat, kamu tidak sendirian. Mari kita cari cara untuk memperbaiki hubungan keluarga."
Sedih,Rasa tidak berdaya,Negatif,Empowerment,"Ingat, kamu memiliki kekuatan untuk mengubah situasi ini. Mari kita bicarakan langkah-langkahnya."
Sedih,Rasa putus asa,Negatif,Planning,"Ingat, selalu ada harapan. Mari kita cari cara untuk menemukan cahaya di tengah kegelapan."
Sedih,Menghadapi perubahan yang tidak diinginkan,Negatif,Adaptability,Cobalah untuk melihat perubahan ini sebagai peluang untuk tumbuh dan belajar.
Sedih,Rasa tidak berharga,Negatif,Affirmation,Cobalah untuk mengingat semua hal baik yang telah kamu lakukan. Kamu berharga.
Sedih,Rasa kehilangan harapan,Negatif,Motivation,Mari kita cari inspirasi dari pengalaman positif di masa lalu. Harapan bisa ditemukan kembali.
Sedih,Menghadapi kritik atau penilaian negatif,Negatif,Planning,Cobalah untuk melihat kritik sebagai kesempatan untuk belajar dan berkembang.
Sedih,Rasa tidak memiliki dukungan,Negatif,Connection,Mari kita cari cara untuk membangun jaringan dukungan di sekitarmu.
Sedih,Menghadapi kehilangan pekerjaan,Negatif,Planning,Mari kita bicarakan langkah-langkah untuk mencari pekerjaan baru yang lebih baik.
Sedih,Rasa tidak memiliki kontrol atas hidup,Negatif,Empowerment,"Ingat, kamu memiliki kekuatan untuk membuat pilihan. Mari kita bicarakan langkah-langkahnya."
Sedih,Menghadapi masalah kesehatan yang serius,Negatif,Affirmation,Pertimbangkan untuk berbicara dengan seorang profesional. Mereka bisa membantumu melalui ini.
Sedih,Rasa tidak puas dengan diri sendiri,Negatif,Improvement,Mari kita bicarakan langkah-langkah kecil yang bisa kamu ambil untuk merasa lebih baik.
Sedih,Menghadapi kesedihan orang lain,Negatif,Support,Mari kita bicarakan langkah-langkah kecil yang bisa kamu ambil untuk merasa lebih baik.
Sedih,Rasa tertekan akibat tuntutan hidup,Negatif,Planning,Mari kita bicarakan beberapa cara untuk mengelola tekanan ini. Mungkin ada teknik relaksasi yang bisa membantu.
Sedih,Menghadapi kehilangan impian,Negatif,Encouragement,"Ingat, kadang-kadang impian baru bisa muncul dari kehilangan. Apa yang ingin kamu coba selanjutnya?"
Sedih,Rasa tidak memiliki tujuan hidup,Negatif,Motivation,Mari kita eksplorasi minat dan passionmu. Mungkin kita bisa menemukan tujuan baru bersama.
Sedih,Menghadapi kesedihan akibat berita buruk,Negatif,Support,"Ingat, penting untuk berbagi perasaanmu. Aku di sini untuk mendengarkan dan mendukungmu."
Kecewa,Harapan yang tidak terpenuhi,Negatif,Empathy,Aku mengerti betapa menyedihkannya ketika harapan tidak terpenuhi. Mari kita bicarakan lebih lanjut.
Kecewa,Gagal mencapai tujuan,Negatif,Empathy,Merasa gagal itu wajar. Mari kita bicarakan lebih lanjut.
Kecewa,Janji yang tidak ditepati,Negatif,Empathy,Merasa dikhianati itu menyakitkan. Mari kita bicarakan lebih lanjut.
Kecewa,Gagal dalam hubungan pasangan,Negatif,Empathy,Hubungan yang tidak berjalan baik bisa sangat menyakitkan. Aku di sini untuk mendengarkan.
Kecewa,Tidak mendapat pengakuan,Negatif,Empathy,Merasa tidak dihargai itu sulit. Mari kita bicarakan lebih lanjut.
Kecewa,Perbandingan dengan Orang lain,Negatif,Empathy,Membandingkan diri dengan orang lain bisa menyakitkan. Mari kita bicarakan lebih lanjut.
Kecewa,Diperlakukan tidak adil,Negatif,Empathy,Merasa diperlakukan tidak adil itu menyakitkan. Mari kita bicarakan lebih lanjut.
Kecewa,Kecewa pada diri sendiri,Negatif,Empathy,Merasa kecewa pada diri sendiri itu wajar. Mari kita bicarakan lebih lanjut.
Kecewa,Dukungan tidak sesuai harapan,Negatif,Empathy,Merasa sendirian itu sulit. Mari kita bicarakan lebih lanjut.
Kecewa,Perubahan rencana mendadak,Negatif,Empathy,Perubahan yang tiba-tiba bisa membuat frustasi. Mari kita bicarakan lebih lanjut.
Kecewa,Pencapaian Hasil yang terlambat,Negatif,Empathy,Merasa terlambat itu bisa membuat kecewa. Mari kita bicarakan lebih lanjut.
Kecewa,gagal dalam ujian / seleksi,Negatif,Empathy,Merasa gagal dalam ujian itu menyedihkan. Mari kita bicarakan lebih lanjut.
Kecewa,pekerjaan tidak sesuai,Negatif,Empathy,Merasa kecewa karena tidak mendapatkan pekerjaan itu wajar. Mari kita bicarakan lebih lanjut.
Kecewa,kecewa pada teman,Negatif,Empathy,Kekecewaan dalam pertemanan bisa sangat menyakitkan. Mari kita bicarakan lebih lanjut.
Kecewa,ketidakpuasan dengan hasil kerja,Negatif,Empathy,Merasa tidak puas dengan hasil kerja itu wajar. Mari kita bicarakan lebih lanjut.
Kecewa,Merasa diabaikan,Negatif,Empathy,Merasa diabaikan itu menyakitkan. Mari kita bicarakan lebih lanjut.
Kecewa,Gagal dalam hubungan keluarga,Negatif,Empathy,Hubungan keluarga yang rumit bisa sangat menyakitkan. Mari kita bicarakan lebih lanjut.
Kecewa,Tidak mendapatkan kesempatan yang diharapkan,Negatif,Empathy,Merasa kehilangan kesempatan itu menyedihkan. Mari kita bicarakan lebih lanjut.
Kecewa,tidak puas pada layanan / produk,Negatif,Empathy,Merasa kecewa dengan layanan atau produk itu wajar. Mari kita bicarakan lebih lanjut.
Kecewa,masa depan tidak pasti,Negatif,Empathy,Ketidakpastian bisa membuat kita merasa cemas. Mari kita bicarakan lebih lanjut.
Kecewa,tidak sesuai ekspektasi,Negatif,Empathy,Merasa tidak sesuai ekspektasi itu menyedihkan. Mari kita bicarakan lebih lanjut.
Kecewa,tidak dihargai,Negatif,Empathy,Merasa tidak dihargai itu menyakitkan. Mari kita bicarakan lebih lanjut.
Kecewa,gagal dalam pencapaian akademis,Negatif,Empathy,Merasa kecewa dengan pencapaian akademis itu wajar. Mari kita bicarakan lebih lanjut.
Kecewa,Tidak mendapatkan umpan balik yang konstruktif,Negatif,Empathy,Merasa tidak mendapatkan umpan balik itu bisa membuat frustrasi. Mari kita bicarakan lebih lanjut.
Kecewa,gagal dalam proyek / project,Negatif,Empathy,Merasa kecewa karena proyek gagal itu menyedihkan. Mari kita bicarakan lebih lanjut.
Kecewa,terjebak dalam situasi yang tidak diinginkan,Negatif,Empathy,Merasa terjebak itu sulit. Mari kita bicarakan lebih lanjut.
Kecewa,kehilangan sesuatu yang berharga,Negatif,Empathy,Kehilangan itu menyakitkan. Mari kita bicarakan lebih lanjut.
Kecewa,Tidak mendapatkan hasil dari usaha yang dilakukan,Negatif,Empathy,Merasa kecewa karena usaha tidak membuahkan hasil itu wajar. Mari kita bicarakan lebih lanjut.
